FromNode,ToNode,Type,Length(m),Project(P/E),base_costs,Investment_Cost (Billion VND),Construction_Time (Years),Capacity,Capacity_After_Investment
27,32,W,126042,E,400,0,0,10000000,"1,500,000"
27,30,W,98571,E,400,0,0,10000000,"1,500,000"
30,31,W,12222,E,400,0,0,10000000,"500,000"
31,32,W,49898,E,400,0,0,10000000,"1,000,000"
31,33,W,58202,E,400,0,0,10000000,"1,000,000"
31,29,W,35489,E,400,0,0,10000000,"1,000,000"
29,28,W,64592,E,400,0,0,10000000,"1,000,000"
18,28,W,81744,E,400,0,0,10000000,"1,500,000"
18,30,W,125092,E,400,0,0,10000000,"1,500,000"
18,16,W,47528,E,400,0,0,10000000,"1,000,000"
16,58,W,84776,E,400,0,0,10000000,"1,500,000"
22,34,W,71616,E,400,0,0,10000000,"1,000,000"
22,35,W,64363,E,400,0,0,10000000,"1,000,000"
41,34,W,130464,E,400,0,0,10000000,"1,000,000"
41,35,W,124050,E,400,0,0,10000000,"1,000,000"
37,30,W,126152,E,400,0,0,10000000,"1,500,000"
13,51,W,48482,E,400,0,0,10000000,"1,000,000"
